name,National ?,Type,Species,Height,Weight,Abilities,Local ?,Japanese,EV yield,Catch rate,Base Happiness,Base EXP,Growth Rate,Egg Groups,Gender,Egg cycles,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,defenses,evolution_moves,levelup_moves,egg_moves,tutor_moves,tm_moves
Medicham,308,Fighting Psychic ,Meditate Pokémon,4?3? (1.30m),69.4 lbs (31.5 kg),Pure PowerTelepathy (hidden ability),077 (Ruby/Sapphire)087 (Diamond/Pearl)087 (Platinum)144 (X/Y)079 (Omega Ruby/Alpha Sapphire),Charemu,2 Speed ,"90 (11.8% with PokéBall, full HP)",70 (normal),153,Medium Fast,Human-Like ,"50% male, 50% female","20 (base 5,120 steps)",410,60,60,75,60,75,80,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', ''), ('Gra', ''), ('Ice', ''), ('Fig', '½'), ('Poi', ''), ('Gro', ''), ('Fly', '2'), ('Psy', ''), ('Bug', ''), ('Roc', '½'), ('Gho', '2'), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '2')])",OrderedDict(),"OrderedDict([('Bide', '1'), ('Confusion', '7'), ('Detect', '9'), ('Fire Punch', '1'), ('Ice Punch', '1'), ('Meditate', '4'), ('Thunder Punch', '1'), ('Zen Headbutt', '1'), ('Endure', '12'), ('Feint', '15'), ('Force Palm', '17'), ('Hidden Power', '20'), ('Calm Mind', '23'), ('Mind Reader', '25'), ('High Jump Kick', '28'), ('Psych Up', '31'), ('Acupressure', '33'), ('Power Trick', '36'), ('Reversal', '42'), ('Recover', '47'), ('Counter', '53')])","OrderedDict([('Baton Pass', 'Normal'), ('Bullet Punch', 'Steel'), ('Drain Punch', 'Fighting'), ('Dynamic Punch', 'Fighting'), ('Fake Out', 'Normal'), ('Fire Punch', 'Fire'), ('Foresight', 'Normal'), ('Guard Swap', 'Psychic'), ('Ice Punch', 'Ice'), ('Power Swap', 'Psychic'), ('Psycho Cut', 'Psychic'), ('Quick Guard', 'Fighting'), ('Secret Power', 'Normal'), ('Thunder Punch', 'Electric')])","OrderedDict([('Drain Punch', 'Fighting'), ('Fire Punch', 'Fire'), ('Focus Punch', 'Fighting'), ('Gravity', 'Psychic'), ('Helping Hand', 'Normal'), ('Ice Punch', 'Ice'), ('Laser Focus', 'Normal'), ('Low Kick', 'Fighting'), ('Magic Coat', 'Psychic'), ('Pain Split', 'Normal'), ('Recycle', 'Normal'), ('Role Play', 'Psychic'), ('Signal Beam', 'Bug'), ('Snore', 'Normal'), ('Telekinesis', 'Psychic'), ('Thunder Punch', 'Electric'), ('Trick', 'Psychic'), ('Zen Headbutt', 'Psychic')])","OrderedDict([('Work Up', '1'), ('Psyshock', '3'), ('Calm Mind', '4'), ('Toxic', '6'), ('Bulk Up', '8'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Hyper Beam', '15'), ('Light Screen', '16'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Return', '27'), ('Psychic', '29'), ('Shadow Ball', '30'), ('Brick Break', '31'), ('Double Team', '32'), ('Reflect', '33'), ('Rock Tomb', '39'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Low Sweep', '47'), ('Round', '48'), ('Focus Blast', '52'), ('Energy Ball', '53'), ('Fling', '56'), ('Giga Impact', '68'), ('Psych Up', '77'), ('Rock Slide', '80'), ('Poison Jab', '84'), ('Dream Eater', '85'), ('Grass Knot', '86'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Confide', '100')])"
Electrike,309,Electric ,Lightning Pokémon,2?0? (0.61m),33.5 lbs (15.2 kg),Lightning RodStaticMinus (hidden ability),078 (Ruby/Sapphire)073 (X/Y)080 (Omega Ruby/Alpha Sapphire)293 (Ultra Sun/Ultra Moon)114 (Ultra Sun/Ultra Moon),Rakurai,1 Speed ,"120 (15.7% with PokéBall, full HP)",70 (normal),104,Slow,Field ,"50% male, 50% female","20 (base 5,120 steps)",295,40,45,40,65,40,65,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', '0'), ('Gra', ''), ('Ice', ''), ('Fig', ''), ('Poi', ''), ('Gro', '2'), ('Fly', '½'), ('Psy', ''), ('Bug', ''), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', '½'), ('Fai', '')])",OrderedDict(),"OrderedDict([('Tackle', '1'), ('Thunder Wave', '1'), ('Leer', '4'), ('Howl', '7'), ('Quick Attack', '10'), ('Spark', '13'), ('Odor Sleuth', '16'), ('Thunder Fang', '19'), ('Bite', '24'), ('Discharge', '29'), ('Roar', '34'), ('Wild Charge', '39'), ('Charge', '44'), ('Thunder', '49')])","OrderedDict([('Crunch', 'Dark'), ('Curse', 'Ghost'), ('Discharge', 'Electric'), ('Eerie Impulse', 'Electric'), ('Electro Ball', 'Electric'), ('Fire Fang', 'Fire'), ('Flame Burst', 'Fire'), ('Headbutt', 'Normal'), ('Ice Fang', 'Ice'), ('Shock Wave', 'Electric'), ('Swift', 'Normal'), ('Switcheroo', 'Dark'), ('Thunder Fang', 'Electric'), ('Uproar', 'Normal')])","OrderedDict([('Iron Tail', 'Steel'), ('Magnet Rise', 'Electric'), ('Shock Wave', 'Electric'), ('Signal Beam', 'Bug'), ('Snore', 'Normal'), ('Uproar', 'Normal')])","OrderedDict([('Roar', '5'), ('Toxic', '6'), ('Hidden Power', '10'), ('Light Screen', '16'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Thunderbolt', '24'), ('Thunder', '25'), ('Return', '27'), ('Double Team', '32'), ('Flamethrower', '35'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Thief', '46'), ('Round', '48'), ('Charge Beam', '57'), ('Volt Switch', '72'), ('Thunder Wave', '73'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Wild Charge', '93'), ('Snarl', '95'), ('Confide', '100')])"
Manectric,310,Electric ,Discharge Pokémon,4?11? (1.50m),88.6 lbs (40.2 kg),Lightning RodStaticMinus (hidden ability),079 (Ruby/Sapphire)074 (X/Y)081 (Omega Ruby/Alpha Sapphire)294 (Ultra Sun/Ultra Moon)115 (Ultra Sun/Ultra Moon),Raiboruto,2 Speed ,"45 (5.9% with PokéBall, full HP)",70 (normal),168,Slow,Field ,"50% male, 50% female","20 (base 5,120 steps)",475,70,75,60,105,60,105,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', '0'), ('Gra', ''), ('Ice', ''), ('Fig', ''), ('Poi', ''), ('Gro', '2'), ('Fly', '½'), ('Psy', ''), ('Bug', ''), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', '½'), ('Fai', '')])",OrderedDict(),"OrderedDict([('Electric Terrain', '60'), ('Fire Fang', '1'), ('Howl', '7'), ('Leer', '4'), ('Tackle', '1'), ('Thunder Wave', '1'), ('Quick Attack', '10'), ('Spark', '13'), ('Odor Sleuth', '16'), ('Thunder Fang', '19'), ('Bite', '24'), ('Discharge', '30'), ('Roar', '36'), ('Wild Charge', '42'), ('Charge', '48'), ('Thunder', '54')])","OrderedDict([('Crunch', 'Dark'), ('Curse', 'Ghost'), ('Discharge', 'Electric'), ('Eerie Impulse', 'Electric'), ('Electro Ball', 'Electric'), ('Fire Fang', 'Fire'), ('Flame Burst', 'Fire'), ('Headbutt', 'Normal'), ('Ice Fang', 'Ice'), ('Shock Wave', 'Electric'), ('Swift', 'Normal'), ('Switcheroo', 'Dark'), ('Thunder Fang', 'Electric'), ('Uproar', 'Normal')])","OrderedDict([('Iron Tail', 'Steel'), ('Laser Focus', 'Normal'), ('Magnet Rise', 'Electric'), ('Shock Wave', 'Electric'), ('Signal Beam', 'Bug'), ('Snore', 'Normal'), ('Uproar', 'Normal')])","OrderedDict([('Roar', '5'), ('Toxic', '6'), ('Hidden Power', '10'), ('Hyper Beam', '15'), ('Light Screen', '16'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Thunderbolt', '24'), ('Thunder', '25'), ('Return', '27'), ('Double Team', '32'), ('Flamethrower', '35'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Thief', '46'), ('Round', '48'), ('Overheat', '50'), ('Charge Beam', '57'), ('Giga Impact', '68'), ('Volt Switch', '72'), ('Thunder Wave', '73'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Wild Charge', '93'), ('Snarl', '95'), ('Confide', '100')])"
Plusle,311,Electric ,Cheering Pokémon,1?4? (0.41m),9.3 lbs (4.2 kg),PlusLightning Rod (hidden ability),080 (Ruby/Sapphire)096 (X/Y)082 (Omega Ruby/Alpha Sapphire),Purasuru,1 Speed ,"200 (26.1% with PokéBall, full HP)",70 (normal),120,Medium Fast,Fairy ,"50% male, 50% female","20 (base 5,120 steps)",405,60,50,40,85,75,95,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', '½'), ('Gra', ''), ('Ice', ''), ('Fig', ''), ('Poi', ''), ('Gro', '2'), ('Fly', '½'), ('Psy', ''), ('Bug', ''), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', '½'), ('Fai', '')])",OrderedDict(),"OrderedDict([('Growl', '1'), ('Nuzzle', '1'), ('Play Nice', '1'), ('Quick Attack', '1'), ('Thunder Wave', '1'), ('Helping Hand', '4'), ('Spark', '7'), ('Encore', '10'), ('Bestow', '13'), ('Swift', '16'), ('Electro Ball', '19'), ('Copycat', '22'), ('Charm', '25'), ('Charge', '28'), ('Discharge', '31'), ('Baton Pass', '34'), ('Agility', '37'), ('Last Resort', '40'), ('Thunder', '43'), ('Nasty Plot', '46'), ('Entrainment', '49')])","OrderedDict([('Charm', 'Fairy'), ('Discharge', 'Electric'), ('Fake Tears', 'Dark'), ('Lucky Chant', 'Normal'), ('Sing', 'Normal'), ('Sweet Kiss', 'Fairy'), ('Tearful Look', 'Normal'), ('Wish', 'Normal')])","OrderedDict([('Covet', 'Normal'), ('Electroweb', 'Electric'), ('Helping Hand', 'Normal'), ('Iron Tail', 'Steel'), ('Last Resort', 'Normal'), ('Magnet Rise', 'Electric'), ('Shock Wave', 'Electric'), ('Signal Beam', 'Bug'), ('Snore', 'Normal'), ('Thunder Punch', 'Electric'), ('Uproar', 'Normal')])","OrderedDict([('Toxic', '6'), ('Hidden Power', '10'), ('Light Screen', '16'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Thunderbolt', '24'), ('Thunder', '25'), ('Return', '27'), ('Double Team', '32'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Echoed Voice', '49'), ('Fling', '56'), ('Charge Beam', '57'), ('Volt Switch', '72'), ('Thunder Wave', '73'), ('Grass Knot', '86'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Wild Charge', '93'), ('Confide', '100')])"
Minun,312,Electric ,Cheering Pokémon,1?4? (0.41m),9.3 lbs (4.2 kg),MinusVolt Absorb (hidden ability),081 (Ruby/Sapphire)097 (X/Y)083 (Omega Ruby/Alpha Sapphire),Mainan,1 Speed ,"200 (26.1% with PokéBall, full HP)",70 (normal),120,Medium Fast,Fairy ,"50% male, 50% female","20 (base 5,120 steps)",405,60,40,50,75,85,95,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', '½'), ('Gra', ''), ('Ice', ''), ('Fig', ''), ('Poi', ''), ('Gro', '2'), ('Fly', '½'), ('Psy', ''), ('Bug', ''), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', '½'), ('Fai', '')])",OrderedDict(),"OrderedDict([('Growl', '1'), ('Nuzzle', '1'), ('Play Nice', '1'), ('Quick Attack', '1'), ('Thunder Wave', '1'), ('Helping Hand', '4'), ('Spark', '7'), ('Encore', '10'), ('Switcheroo', '13'), ('Swift', '16'), ('Electro Ball', '19'), ('Copycat', '22'), ('Fake Tears', '25'), ('Charge', '28'), ('Discharge', '31'), ('Baton Pass', '34'), ('Agility', '37'), ('Trump Card', '40'), ('Thunder', '43'), ('Nasty Plot', '46'), ('Entrainment', '49')])","OrderedDict([('Charm', 'Fairy'), ('Discharge', 'Electric'), ('Fake Tears', 'Dark'), ('Lucky Chant', 'Normal'), ('Sing', 'Normal'), ('Sweet Kiss', 'Fairy'), ('Tearful Look', 'Normal'), ('Wish', 'Normal')])","OrderedDict([('Covet', 'Normal'), ('Electroweb', 'Electric'), ('Helping Hand', 'Normal'), ('Iron Tail', 'Steel'), ('Last Resort', 'Normal'), ('Magnet Rise', 'Electric'), ('Shock Wave', 'Electric'), ('Signal Beam', 'Bug'), ('Snore', 'Normal'), ('Thunder Punch', 'Electric'), ('Uproar', 'Normal')])","OrderedDict([('Toxic', '6'), ('Hidden Power', '10'), ('Light Screen', '16'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Thunderbolt', '24'), ('Thunder', '25'), ('Return', '27'), ('Double Team', '32'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Echoed Voice', '49'), ('Fling', '56'), ('Charge Beam', '57'), ('Volt Switch', '72'), ('Thunder Wave', '73'), ('Grass Knot', '86'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Wild Charge', '93'), ('Confide', '100')])"
Volbeat,313,Bug ,Firefly Pokémon,2?4? (0.71m),39 lbs (17.7 kg),IlluminateSwarmPrankster (hidden ability),086 (Ruby/Sapphire)133 (X/Y)089 (Omega Ruby/Alpha Sapphire),Barubito,1 Speed ,"150 (19.6% with PokéBall, full HP)",70 (normal),146,Erratic,"Bug, Human-Like ","100% male, 0% female","15 (base 3,840 steps)",430,65,73,75,47,85,85,"OrderedDict([('Nor', ''), ('Fir', '2'), ('Wat', ''), ('Ele', ''), ('Gra', '½'), ('Ice', ''), ('Fig', '½'), ('Poi', ''), ('Gro', '½'), ('Fly', '2'), ('Psy', ''), ('Bug', ''), ('Roc', '2'), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '')])",OrderedDict(),"OrderedDict([('Flash', '1'), ('Tackle', '1'), ('Double Team', '5'), ('Confuse Ray', '8'), ('Quick Attack', '12'), ('Struggle Bug', '15'), ('Moonlight', '19'), ('Tail Glow', '22'), ('Signal Beam', '26'), ('Protect', '29'), ('Zen Headbutt', '33'), ('Helping Hand', '36'), ('Bug Buzz', '40'), ('Play Rough', '43'), ('Double-Edge', '47'), ('Infestation', '50')])","OrderedDict([('Baton Pass', 'Normal'), ('Bug Buzz', 'Bug'), ('Dizzy Punch', 'Normal'), ('Encore', 'Normal'), ('Lunge', 'Bug'), ('Seismic Toss', 'Fighting'), ('Silver Wind', 'Bug'), ('Trick', 'Psychic')])","OrderedDict([('Bug Bite', 'Bug'), ('Defog', 'Flying'), ('Focus Punch', 'Fighting'), ('Giga Drain', 'Grass'), ('Helping Hand', 'Normal'), ('Ice Punch', 'Ice'), ('Shock Wave', 'Electric'), ('Signal Beam', 'Bug'), ('Snore', 'Normal'), ('Tailwind', 'Flying'), ('Thunder Punch', 'Electric'), ('Trick', 'Psychic'), ('Water Pulse', 'Water'), ('Zen Headbutt', 'Psychic')])","OrderedDict([('Toxic', '6'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Light Screen', '16'), ('Protect', '17'), ('Rain Dance', '18'), ('Roost', '19'), ('Frustration', '21'), ('Solar Beam', '22'), ('Thunderbolt', '24'), ('Thunder', '25'), ('Return', '27'), ('Shadow Ball', '30'), ('Brick Break', '31'), ('Double Team', '32'), ('Aerial Ace', '40'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Thief', '46'), ('Round', '48'), ('Fling', '56'), ('Charge Beam', '57'), ('Acrobatics', '62'), ('Thunder Wave', '73'), ('Psych Up', '77'), ('Infestation', '83'), ('Swagger', '87'), ('Sleep Talk', '88'), ('U-turn', '89'), ('Substitute', '90'), ('Dazzling Gleam', '99'), ('Confide', '100')])"
Illumise,314,Bug ,Firefly Pokémon,2?0? (0.61m),39 lbs (17.7 kg),ObliviousTinted LensPrankster (hidden ability),087 (Ruby/Sapphire)134 (X/Y)090 (Omega Ruby/Alpha Sapphire),Irumize,1 Speed ,"150 (19.6% with PokéBall, full HP)",70 (normal),146,Fluctuating,"Bug, Human-Like ","0% male, 100% female","15 (base 3,840 steps)",430,65,47,75,73,85,85,"OrderedDict([('Nor', ''), ('Fir', '2'), ('Wat', ''), ('Ele', ''), ('Gra', '½'), ('Ice', ''), ('Fig', '½'), ('Poi', ''), ('Gro', '½'), ('Fly', '2'), ('Psy', ''), ('Bug', ''), ('Roc', '2'), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '')])",OrderedDict(),"OrderedDict([('Play Nice', '1'), ('Tackle', '1'), ('Sweet Scent', '5'), ('Charm', '9'), ('Quick Attack', '12'), ('Struggle Bug', '15'), ('Moonlight', '19'), ('Wish', '22'), ('Encore', '26'), ('Flatter', '29'), ('Zen Headbutt', '33'), ('Helping Hand', '36'), ('Bug Buzz', '40'), ('Play Rough', '43'), ('Covet', '47'), ('Infestation', '50')])","OrderedDict([('Aromatherapy', 'Grass'), ('Baton Pass', 'Normal'), ('Bug Buzz', 'Bug'), ('Captivate', 'Normal'), ('Confuse Ray', 'Ghost'), ('Encore', 'Normal'), ('Fake Tears', 'Dark'), ('Growth', 'Normal'), ('Silver Wind', 'Bug')])","OrderedDict([('Bug Bite', 'Bug'), ('Covet', 'Normal'), ('Defog', 'Flying'), ('Focus Punch', 'Fighting'), ('Giga Drain', 'Grass'), ('Helping Hand', 'Normal'), ('Ice Punch', 'Ice'), ('Shock Wave', 'Electric'), ('Snore', 'Normal'), ('Tailwind', 'Flying'), ('Thunder Punch', 'Electric'), ('Water Pulse', 'Water'), ('Zen Headbutt', 'Psychic')])","OrderedDict([('Toxic', '6'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Light Screen', '16'), ('Protect', '17'), ('Rain Dance', '18'), ('Roost', '19'), ('Frustration', '21'), ('Solar Beam', '22'), ('Thunderbolt', '24'), ('Thunder', '25'), ('Return', '27'), ('Shadow Ball', '30'), ('Brick Break', '31'), ('Double Team', '32'), ('Aerial Ace', '40'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Thief', '46'), ('Round', '48'), ('Fling', '56'), ('Charge Beam', '57'), ('Acrobatics', '62'), ('Thunder Wave', '73'), ('Psych Up', '77'), ('Infestation', '83'), ('Swagger', '87'), ('Sleep Talk', '88'), ('U-turn', '89'), ('Substitute', '90'), ('Dazzling Gleam', '99'), ('Confide', '100')])"
Roselia,315,Grass Poison ,Thorn Pokémon,1?0? (0.30m),4.4 lbs (2.0 kg),Natural CurePoison PointLeaf Guard (hidden ability),094 (Ruby/Sapphire)026 (Diamond/Pearl)026 (Platinum)134 (Black 2/White 2)072 (X/Y)098 (Omega Ruby/Alpha Sapphire),Rozeria,2 Special Attack ,"150 (19.6% with PokéBall, full HP)",70 (normal),152,Medium Slow,"Fairy, Grass ","50% male, 50% female","20 (base 5,120 steps)",400,50,60,45,100,80,65,"OrderedDict([('Nor', ''), ('Fir', '2'), ('Wat', '½'), ('Ele', '½'), ('Gra', '¼'), ('Ice', '2'), ('Fig', '½'), ('Poi', ''), ('Gro', ''), ('Fly', '2'), ('Psy', '2'), ('Bug', ''), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '½')])",OrderedDict(),"OrderedDict([('Absorb', '1'), ('Growth', '4'), ('Poison Sting', '7'), ('Stun Spore', '10'), ('Mega Drain', '13'), ('Leech Seed', '16'), ('Magical Leaf', '19'), ('Grass Whistle', '22'), ('Giga Drain', '25'), ('Toxic Spikes', '28'), ('Sweet Scent', '31'), ('Ingrain', '34'), ('Petal Blizzard', '37'), ('Toxic', '40'), ('Aromatherapy', '43'), ('Synthesis', '46'), ('Petal Dance', '50')])","OrderedDict([('Bullet Seed', 'Grass'), ('Cotton Spore', 'Grass'), ('Giga Drain', 'Grass'), ('Grass Whistle', 'Grass'), ('Leaf Storm', 'Grass'), ('Mind Reader', 'Normal'), ('Natural Gift', 'Normal'), ('Pin Missile', 'Bug'), ('Power Whip', 'Grass'), ('Razor Leaf', 'Grass'), ('Seed Bomb', 'Grass'), ('Sleep Powder', 'Grass'), ('Spikes', 'Ground'), ('Synthesis', 'Grass')])","OrderedDict([('Covet', 'Normal'), ('Giga Drain', 'Grass'), ('Seed Bomb', 'Grass'), ('Snore', 'Normal'), ('Synthesis', 'Grass'), ('Worry Seed', 'Grass')])","OrderedDict([('Toxic', '6'), ('Venoshock', '9'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Solar Beam', '22'), ('Return', '27'), ('Shadow Ball', '30'), ('Double Team', '32'), ('Sludge Bomb', '36'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Energy Ball', '53'), ('Swords Dance', '75'), ('Psych Up', '77'), ('Poison Jab', '84'), ('Grass Knot', '86'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Nature Power', '96'), ('Dazzling Gleam', '99'), ('Confide', '100')])"
Gulpin,316,Poison ,Stomach Pokémon,1?4? (0.41m),22.7 lbs (10.3 kg),Liquid OozeSticky HoldGluttony (hidden ability),095 (Ruby/Sapphire)098 (X/Y)100 (Omega Ruby/Alpha Sapphire),Gokurin,1 HP ,"225 (29.4% with PokéBall, full HP)",70 (normal),75,Fluctuating,Amorphous ,"50% male, 50% female","20 (base 5,120 steps)",302,70,43,53,43,53,40,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', ''), ('Gra', '½'), ('Ice', ''), ('Fig', '½'), ('Poi', '½'), ('Gro', '2'), ('Fly', ''), ('Psy', '2'), ('Bug', '½'), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '½')])",OrderedDict(),"OrderedDict([('Pound', '1'), ('Yawn', '5'), ('Poison Gas', '8'), ('Sludge', '10'), ('Amnesia', '12'), ('Acid Spray', '17'), ('Encore', '20'), ('Toxic', '25'), ('Spit Up', '28'), ('Stockpile', '28'), ('Swallow', '28'), ('Sludge Bomb', '33'), ('Gastro Acid', '36'), ('Belch', '41'), ('Wring Out', '44'), ('Gunk Shot', '49')])","OrderedDict([('Acid Armor', 'Poison'), ('Curse', 'Ghost'), ('Destiny Bond', 'Ghost'), ('Gunk Shot', 'Poison'), ('Mud-Slap', 'Ground'), ('Pain Split', 'Normal'), ('Smog', 'Poison'), ('Venom Drench', 'Poison')])","OrderedDict([('Fire Punch', 'Fire'), ('Gastro Acid', 'Poison'), ('Giga Drain', 'Grass'), ('Gunk Shot', 'Poison'), ('Ice Punch', 'Ice'), ('Pain Split', 'Normal'), ('Seed Bomb', 'Grass'), ('Shock Wave', 'Electric'), ('Snatch', 'Dark'), ('Snore', 'Normal'), ('Thunder Punch', 'Electric'), ('Water Pulse', 'Water')])","OrderedDict([('Toxic', '6'), ('Venoshock', '9'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Ice Beam', '13'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Solar Beam', '22'), ('Return', '27'), ('Shadow Ball', '30'), ('Double Team', '32'), ('Sludge Wave', '34'), ('Sludge Bomb', '36'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Explosion', '64'), ('Infestation', '83'), ('Dream Eater', '85'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Confide', '100')])"
Swalot,317,Poison ,Poison Bag Pokémon,5?7? (1.70m),176.4 lbs (80.0 kg),Liquid OozeSticky HoldGluttony (hidden ability),096 (Ruby/Sapphire)099 (X/Y)101 (Omega Ruby/Alpha Sapphire),Marunomu,2 HP ,"75 (9.8% with PokéBall, full HP)",70 (normal),168,Fluctuating,Amorphous ,"50% male, 50% female","20 (base 5,120 steps)",467,100,73,83,73,83,55,"OrderedDict([('Nor', ''), ('Fir', ''), ('Wat', ''), ('Ele', ''), ('Gra', '½'), ('Ice', ''), ('Fig', '½'), ('Poi', '½'), ('Gro', '2'), ('Fly', ''), ('Psy', '2'), ('Bug', '½'), ('Roc', ''), ('Gho', ''), ('Dra', ''), ('Dar', ''), ('Ste', ''), ('Fai', '½')])","OrderedDict([('Body Slam', 'Normal')])","OrderedDict([('Body Slam', '1'), ('Gunk Shot', '61'), ('Poison Gas', '8'), ('Pound', '1'), ('Sludge', '10'), ('Venom Drench', '1'), ('Wring Out', '54'), ('Yawn', '5'), ('Amnesia', '12'), ('Acid Spray', '17'), ('Encore', '20'), ('Toxic', '25'), ('Spit Up', '30'), ('Stockpile', '30'), ('Swallow', '30'), ('Sludge Bomb', '37'), ('Gastro Acid', '42'), ('Belch', '49')])","OrderedDict([('Acid Armor', 'Poison'), ('Curse', 'Ghost'), ('Destiny Bond', 'Ghost'), ('Gunk Shot', 'Poison'), ('Mud-Slap', 'Ground'), ('Pain Split', 'Normal'), ('Smog', 'Poison'), ('Venom Drench', 'Poison')])","OrderedDict([('Block', 'Normal'), ('Fire Punch', 'Fire'), ('Gastro Acid', 'Poison'), ('Giga Drain', 'Grass'), ('Gunk Shot', 'Poison'), ('Ice Punch', 'Ice'), ('Pain Split', 'Normal'), ('Seed Bomb', 'Grass'), ('Shock Wave', 'Electric'), ('Snatch', 'Dark'), ('Snore', 'Normal'), ('Thunder Punch', 'Electric'), ('Water Pulse', 'Water')])","OrderedDict([('Toxic', '6'), ('Venoshock', '9'), ('Hidden Power', '10'), ('Sunny Day', '11'), ('Ice Beam', '13'), ('Hyper Beam', '15'), ('Protect', '17'), ('Rain Dance', '18'), ('Frustration', '21'), ('Solar Beam', '22'), ('Earthquake', '26'), ('Return', '27'), ('Shadow Ball', '30'), ('Double Team', '32'), ('Sludge Wave', '34'), ('Sludge Bomb', '36'), ('Facade', '42'), ('Rest', '44'), ('Attract', '45'), ('Round', '48'), ('Explosion', '64'), ('Giga Impact', '68'), ('Bulldoze', '78'), ('Infestation', '83'), ('Dream Eater', '85'), ('Swagger', '87'), ('Sleep Talk', '88'), ('Substitute', '90'), ('Confide', '100')])"
